Key,Band,Song,Genre,Link,,,,
1,Blondie,Call me,Pop,https://www.youtube.com/watch?v=o3hHsVtqNFQ',,,,
2,Pink Floyd,Another Brick In The Wall (Part II),Pop,https://www.youtube.com/watch?v=9p1_-R_8Fsc',,,,
3,Barbra Streisand,A Woman in Love,Pop,https://www.youtube.com/watch?v=hQLGCX8D-1Y',,,,
4,John Lennon,(Just Like) Starting Over,Pop,https://www.youtube.com/watch?v=dfbAAiL5ec8',,,,
5,Diana Ross,Upside Down,Pop,https://www.youtube.com/watch?v=lZ9OP5dzkQg',,,,
6,ABBA,The Winner Takes It All,Pop,https://www.youtube.com/watch?v=92cwKCU8Z5c',,,,
7,ABBA,Super Trouper,Pop,https://www.youtube.com/watch?v=BshxCIjNEjY',,,,
8,Peter Kent,It is a Real Good Feeling,Pop,https://www.youtube.com/watch?v=rge_gAzDoZk',,,,
9,Goombay Dance Band,Sun of Jamaica,Pop,https://www.youtube.com/watch?v=I5RL6WCx7cs',,,,
10,Olivia Newton-John,Xanadu,Pop,https://www.youtube.com/watch?v=mX8Y_LUxIJo',,,,
11,The Manhattans,Shining Star,Pop,https://www.youtube.com/watch?v=I_sxBUOR0Kk,,,,
12,A-ha,Take On Me,Pop,https://www.youtube.com/watch?v=WC2TWAmw2FM,,,,
13,Rick Astley,Never Gonna Give You Up,Pop,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,,,
14,Modern Talking,Brother Louie,Pop,https://www.youtube.com/watch?v=Lp2qcCrdBLA,,,,
15,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),Pop,https://www.youtube.com/watch?v=LX366rnYTB4,,,,
16,Elton John,I am still standing,Pop,https://www.youtube.com/watch?v=ZHwVBirqD2s,,,,
17,Michael Jackson,The Way You Make Me Feel,Pop,https://www.youtube.com/watch?v=hlA-HLmEqfM,,,,
18,Wham,Wake Me Up Before You Go-Go,Pop,https://www.youtube.com/watch?v=pIgZ7gMze7A,,,,
19,Alphaville,Big in Japan,Pop,https://www.youtube.com/watch?v=E2HeDHkL9kg,,,,
20,The Bee Gees,You Win Again,Pop,https://www.youtube.com/watch?v=l6Qp48VoJb4,,,,
21,Lady Gaga,Poker Face,Pop,https://www.youtube.com/watch?v=bESGLojNYSo,,,,
22,Madonna,Music,Pop,https://www.youtube.com/watch?v=NsKF-IhR_mI,,,,
23,Britney Spears,Oops!... I Did It Again,Pop,https://www.youtube.com/watch?v=CduA0TULnow&t=38s,,,,
24,NSYNC,It is Gonna Be Me,Pop,https://www.youtube.com/watch?v=uWuNCQRcy7M,,,,
25,O-Town,Liquid Dreams,Pop,https://www.youtube.com/watch?v=0cn3V2o5P9w,,,,
26,Samantha Mumba,Gotta Tell You,Pop,https://www.youtube.com/watch?v=v1BCjzZeptc,,,,
27,The Black Eyed Peas,I Gotta Feeling,Pop,https://www.youtube.com/watch?v=ipii7KbbJLY,,,,
28,Backstreet Boys,Shape of My Heart,Pop,https://www.youtube.com/watch?v=OT5msu-dap8,,,,
29,Madonna,4 Minutes,Pop,https://www.youtube.com/watch?v=aAQZPBwz2CI,,,,
30,Leona Lewis,Bleeding Love,Pop,https://www.youtube.com/watch?v=7_weSk0BonM,,,,
31,Shakira ,Hips do not lie,Pop,https://www.youtube.com/watch?v=DUT5rEU6pqM,,,,
32,Kylie Minogue,Can not get you out of my head,Pop,https://www.youtube.com/watch?v=c18441Eh_WE,,,,
33,Katy Perry,Hot n Cold,Pop,https://www.youtube.com/watch?v=LG558yBrNfk,,,,
34,Katy Perry,I kissed a Girl,Pop,https://www.youtube.com/watch?v=tAp9BKosZXs,,,,
35,Britney Spears,Womanizer,Pop,https://www.youtube.com/watch?v=kh_OCwBHLbI,,,,
36,Rihanna,Do Not Stop the Music,Pop,https://www.youtube.com/watch?v=OfWIGJpOih8,,,,
37,Madonna,Hung up,Pop,https://www.youtube.com/watch?v=z-52QAImb_A,,,,
38,Beyonce,Single Ladies (Put a Ring on it),Pop,https://www.youtube.com/watch?v=CQpTT64uFcA,,,,
39,Janet Jackson,Does Not Really Matter,Pop,https://www.youtube.com/watch?v=jU-6eKwAoeo,,,,
40,Eros Ramazzotti,I belong to you,Pop,https://www.youtube.com/watch?v=KMzBXynXo68,,,,
41,Robbie Williams,Rudebox,Pop,https://www.youtube.com/watch?v=1l52QZmN1Gs,,,,
42,Dua Lipa,Do Not Stop Now,Pop,https://www.youtube.com/watch?v=oygrmJFKYZY,,,,
43,Dua Lipa,Physical,Pop,https://www.youtube.com/watch?v=SECICUOWPRc,,,,
44,The Weeknd,Blinding Lights,Pop,https://www.youtube.com/watch?v=fHI8X4OXluQ,,,,
45,Justin Bieber,Intentions,Pop,https://www.youtube.com/watch?v=OoilN6JGh7Y,,,,
46,Justin Bieber,Yummy,Pop,https://www.youtube.com/watch?v=0pAkIrJfwao,,,,
47,Ed Sheeran ,Bad Habits,Pop,https://www.youtube.com/watch?v=HeOpRzcqKrE,,,,
48,Lady Gaga,Stupid Love,Pop,https://www.youtube.com/watch?v=6sqkvSuKgLs,,,,
49,Adele,Easy On Me,Pop,https://www.youtube.com/watch?v=X-yIEMduRXk,,,,
50,Miley Cyrus,Midnight Sky,Pop,https://www.youtube.com/watch?v=aS1no1myeTM,,,,
51,Duncan Laurence,Arcade,Pop,https://www.youtube.com/watch?v=PNozaFzqOvI,,,,
52,Selena Gomez,Lose You To Love Me,Pop,https://www.youtube.com/watch?v=b8kRrZ6PTU8,,,,
53,Doja Cat,Say So,Pop,https://www.youtube.com/watch?v=uAYG46w1SCA,,,,
54,Adele,Oh My God,Pop,https://www.youtube.com/watch?v=PfwIpoVMvNs,,,,
55,The Jonas Brothers,What a man gotta do,Pop,https://www.youtube.com/watch?v=Ai5t-2jhWJ4,,,,
56,Christine & the Queens,People I have been sad (Together at Home),Pop,https://www.youtube.com/watch?v=bUMw27_xvXs,,,,
57,Miley Cyrus,Flowers,Pop,https://www.youtube.com/watch?v=OCGpwIkkuXQ,,,,
58,Ed Sheeran ,Eyes Closed,Pop,https://www.youtube.com/watch?v=myZistq5lRM,,,,
59,Ava Max,Kings & Queens,Pop,https://www.youtube.com/watch?v=jH1RNk8954Q,,,,
60,The Weeknd,Save Your Tears,Pop,https://www.youtube.com/watch?v=u6lihZAcy4s,,,,
61,Doja Cat,Kiss Me More,Pop,https://www.youtube.com/watch?v=1oMgxa32A7g,,,,
62,The Rollings Stones,Start Me Up,Rock,https://www.youtube.com/watch?v=7JR10AThY8M,,,,
63,The Who,You Better You Bet,Rock,https://www.youtube.com/watch?v=UCfO9zClQ8I,,,,
64,Tom Petty and the Heartbreakers,The Waiting,Rock,https://www.youtube.com/watch?v=S61vzozWpGo,,,,
65,Billy Squier,Everybody Wants You,Rock,https://www.youtube.com/watch?v=GK-v_YndGn4,,,,
66,Survivor,Eye of the Tiger,Rock,https://www.youtube.com/watch?v=_qDML_BCju8,,,,
67,Asia,Heat of the Moment,Rock,https://www.youtube.com/watch?v=Ixxrew2TLAM,,,,
68,Joan Jett,I Love Rock and Roll,Rock,https://www.youtube.com/watch?v=STG7w6h1IrM,,,,
69,Def Leppard,Photograph,Rock,https://www.youtube.com/watch?v=vjP3tZgUDmA,,,,
70,The Police,Every Breath You Take,Rock,https://www.youtube.com/watch?v=6cucosmPj-A,,,,
71,The Police,King of Pain,Rock,https://www.youtube.com/watch?v=SZlRX03BzeA,,,,
72,Van Halen,Jump,Rock,https://www.youtube.com/watch?v=SwYN7mTi6HM,,,,
73,Bruce Springsteen,Dancing in the Dark,Rock,https://www.youtube.com/watch?v=129kuDCQtHs,,,,
74,Eric Clapton,Forever Man,Rock,https://www.youtube.com/watch?v=ZOI_g9uKwYg,,,,
75,ZZ Top ,Stages,Rock,https://www.youtube.com/watch?v=n6x7v5YAsDY,,,,
76,John Cougar Mellencamp,Cherry Bomb,Rock,https://www.youtube.com/watch?v=fTiz4ZXW4SU,,,,
77,U2,Desire,Rock,https://www.youtube.com/watch?v=0PnK7IwSvEg,,,,
78,Tom Petty,Free Fallin,Rock,https://www.youtube.com/watch?v=1lWJXDG2i0A,,,,
79,The Rollings Stones,Mixed Emotions,Rock,https://www.youtube.com/watch?v=ImNf2KQ9xRw,,,,
80,Robert Plant,Heaven Knows,Rock,https://www.youtube.com/watch?v=B9Omu_QYb4Q,,,,
81,U2,With or Without You,Rock,https://www.youtube.com/watch?v=ujNeHIo7oTE,,,,
82,ACDC,Stiff Upper Lip,Rock,https://www.youtube.com/watch?v=wAfPLyLzCkQ,,,,
83,3 Doors Down,Kryptonite,Rock,https://www.youtube.com/watch?v=xPU8OAjjS4k,,,,
84,3 Doors Down,Loser,Rock,https://www.youtube.com/watch?v=2Ui_Q4qBDJY,,,,
85,ACDC,Rock N Roll Train,Rock,https://www.youtube.com/watch?v=FrFvNphZ5BQ,,,,
86,Foo Fighters,The Pretender,Rock,https://www.youtube.com/watch?v=SBjQ9tuuTJQ,,,,
87,Red Hot Chili Peppers,Dani California,Rock,https://www.youtube.com/watch?v=0QMMDSO8904,,,,
88,Shinedown,Save Me,Rock,https://www.youtube.com/watch?v=T8dyxGiBx3g,,,,
89,Audioslave,Be Yourself,Rock,https://www.youtube.com/watch?v=_jGKB5b50Mk,,,,
90,Muse,Uprising,Rock,https://www.youtube.com/watch?v=d0KWiDGi_ek,,,,
91,Coldplay,Viva la Vida,Rock,https://www.youtube.com/watch?v=dvgZkm1xWPE,,,,
92,U2,Beautiful Day,Rock,https://www.youtube.com/watch?v=S85ceVI4mfg,,,,
93,Bon Jovi,It Is My Life,Rock,https://www.youtube.com/watch?v=ORLeih2mUKE,,,,
94,Muse,Supermassive Black Hole,Rock,https://www.youtube.com/watch?v=Xsp3_a-PMTw,,,,
95,Kings of Leon,Sex on Fire,Rock,https://www.youtube.com/watch?v=EOjm4SEDMu8,,,,
96,White Stripes,Seven Nation Army,Rock,https://www.youtube.com/watch?v=RDuzszjrdcc,,,,
97,Nickelback,How You Remind Me,Rock,https://www.youtube.com/watch?v=vkvrbbtnp6s,,,,
98,Green Day,American Idiot,Rock,https://www.youtube.com/watch?v=a1BS7XnEZqc,,,,
99,Evanescence,Bring Me to Life,Rock,https://www.youtube.com/watch?v=vyzO-5vt48g,,,,
100,Nickelback,Photograph,Rock,https://www.youtube.com/watch?v=BB0DU4DoPP4,,,,
101,Kings of Leon,Use Somebody,Rock,https://www.youtube.com/watch?v=gnhXHvRoUd0,,,,
102,Green Day,Oh Yeah,Rock,https://www.youtube.com/watch?v=uDBZZXlShvE,,,,
103,Foo Fighters,Shame Shame,Rock,https://www.youtube.com/watch?v=Mn6y3dsKTWU,,,,
104,The Pretty Reckless,Death by Rock and Roll,Rock,https://www.youtube.com/watch?v=BX6KILafIS0,,,,
105,Godsmack,Unforgettable,Rock,https://www.youtube.com/watch?v=pV4H5H9wlTU,,,,
106,Muse,Will Not Stand Down,Rock,https://www.youtube.com/watch?v=zo4YrrpKS1Q,,,,
107,Shinedown,Planet Zero,Rock,https://www.youtube.com/watch?v=VRMqCGkI15A,,,,
108,Linkin Park,Lost,Rock,https://www.youtube.com/watch?v=7NK_JOkuSVY,,,,
